ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
29126	$891	Seattle, ALL	Porto, OPO	Closed	13-Dec-12	(multi-city)	Multi-City	Finder's Fee $44	4 Experts	Kosh44
29129	$492	Newark, EWR	San José del Cabo, SJD	Closed	21-Nov-12	28-Nov-12	Round-Trip	Finder's Fee $39	4 Experts	Jonstudham
29131	$853	Kuala Lumpur, KUL	Paris, ALL	Closed	15-Jun-13	(one-way)	One-Way	Finder's Fee $39	5 Experts	Beech
29140	$520	Salt Lake City, SLC	Miami, MIA	Closed	22-Dec-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Ebertx
29142	$1,742	Frankfurt, FRA	Auckland, AKL	Closed	26-Sep-12	03-Oct-12	Round-Trip	Finder's Fee $39	1 Expert	Walkerdg
29143	$1,815	Seattle, ALL	Chennai, MAA	Closed	20-Dec-12	18-Jan-13	Round-Trip	Finder's Fee $49	4 Experts	Kirank.gollu
29149	$1,080	LAX or SFO	Istanbul, ALL	Closed	26-Dec-12	(one-way)	One-Way	Finder's Fee $44	3 Experts	Teddy
29151	$1,203	Boston, BOS	Hong Kong, HKG	Closed	21-Nov-12	(one-way)	One-Way	Finder's Fee $49	5 Experts	Nigelchan1985
29159	$739	Monterrey, MTY	Medellín, MDE	Closed	20-Dec-12	(one-way)	One-Way	Finder's Fee $29	5 Experts	Mauriciovel
29164	$482	New York, NYC	Port of Spain, POS	Closed	06-Feb-13	(one-way)	One-Way	Finder's Fee $29	6 Experts	Dorra.berrebeh
29165	$3,584	Hong Kong, HKG	Lima, LIM	Closed	22-Dec-12	(multi-city)	Multi-City	Finder's Fee $44	3 Experts	Kobiwan
29166	$1,011	San Francisco, SFO	Tokyo, TYO	Closed	09-Dec-12	(one-way)	One-Way	Finder's Fee $39	2 Experts	Torabayashi
29174	$4,688	Hamburg, HAM	Oaxaca, OAX	Closed	31-Dec-12	(one-way)	One-Way	Finder's Fee $39	2 Experts	Jojojo
29176	$1,663	Melbourne, MEL	Detroit, DTW	Closed	29-Nov-12	02-Jan-13	Round-Trip	Finder's Fee $49	3 Experts	Thomas.john.hoop
29179	$527	Faro, FAO	Berlin, BER	Closed	28-Sep-12	(multi-city)	Multi-City	Finder's Fee $39	2 Experts	Egil
29182	$736	Brisbane, BNE	Singapore, SIN	Closed	27-Sep-12	(multi-city)	Multi-City	Finder's Fee $59	2 Experts	Chriso
29186	$763	New York, NYC	Melbourne, ALL	Closed	15-Jan-13	(one-way)	One-Way	Finder's Fee $34	3 Experts	Thomasbattersby
29195	$947	Boston, BOS	Istanbul, ALL	Closed	26-Dec-12	(one-way)	One-Way	Finder's Fee $44	4 Experts	Teddy
29198	$2,301	Amsterdam, AMS	Bangkok, BKK	Closed	15-Dec-12	(multi-city)	Multi-City	Finder's Fee $39	4 Experts	Michael45
29208	$1,905	Brisbane, BNE	London, LHR	Closed	19-Dec-12	06-Jan-13	Round-Trip	Finder's Fee $39	2 Experts	Jon93
29209	$347	Los Angeles, LAX	Edmonton, YEG	Closed	22-Dec-12	(one-way)	One-Way	Finder's Fee $49	3 Experts	Koreilly.56
29210	$756	New York, NYC	Madrid, MAD	Closed	24-Oct-12	29-Oct-12	Round-Trip	Finder's Fee $39	2 Experts	Rksflier
29214	$238	Newark, EWR	Orlando, MCO	Closed	21-Dec-12	(one-way)	One-Way	Finder's Fee $39	4 Experts	Hfung117
